"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",58320,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1030",288000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1230",38500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",40000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1170",13381000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1040",7000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1130",7000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",7000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",7000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1180",7000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1170",148850,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1170",148139,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",2778350,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1110",153400,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1110",136840,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",9000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",17500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",64900,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",17800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1220",14800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",9800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",13600,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",14000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1050",29100,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",77000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",9700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1060",50000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1030",115800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1100",17500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1150",17500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",13600,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",54400,1,2024
